tweet_id	date	time	lang	country_code
1351758157547249664	2021-01-20	05:07:13	en	US
1351758525475688448	2021-01-20	05:08:41	en	US
1351758616303263746	2021-01-20	05:09:03	en	US
1351758726995169281	2021-01-20	05:09:29	en	US
1351758761099194369	2021-01-20	05:09:37	en	US
1351759293406736384	2021-01-20	05:11:44	en	US
1351759304257400833	2021-01-20	05:11:47	en	US
1351759392564146177	2021-01-20	05:12:08	en	US
1351759530070310912	2021-01-20	05:12:41	en	US
1351759548718182401	2021-01-20	05:12:45	en	US
1351759646390964226	2021-01-20	05:13:08	en	US
1351759690636562432	2021-01-20	05:13:19	en	US
1351759955330789377	2021-01-20	05:14:22	en	US
1351760618861244417	2021-01-20	05:17:00	en	US
1351760795978387456	2021-01-20	05:17:42	en	US
1351761228994142208	2021-01-20	05:19:26	en	US
1351761634973380611	2021-01-20	05:21:02	en	US
1351762185157029889	2021-01-20	05:23:14	en	US
1351762730882002944	2021-01-20	05:25:24	en	US
1351762868442550277	2021-01-20	05:25:57	en	US
1351763132662870017	2021-01-20	05:27:00	en	US
1351763307317882890	2021-01-20	05:27:41	en	US
1351763315345788928	2021-01-20	05:27:43	en	US
1351763937881161728	2021-01-20	05:30:12	en	US
1351764220535300096	2021-01-20	05:31:19	en	US
1351764450307616769	2021-01-20	05:32:14	en	US
1351764692482617347	2021-01-20	05:33:11	en	US
1351764913191006208	2021-01-20	05:34:04	en	US
1351765134516121600	2021-01-20	05:34:57	en	US
1351765282277240835	2021-01-20	05:35:32	en	US
1351765576461524994	2021-01-20	05:36:42	en	US
1351765658837639168	2021-01-20	05:37:02	en	US
1351766065349419009	2021-01-20	05:38:39	en	US
1351766608000249856	2021-01-20	05:40:48	en	US
1351767035236081665	2021-01-20	05:42:30	en	US
1351767112382087173	2021-01-20	05:42:48	en	US
1351767335162376192	2021-01-20	05:43:41	en	US
1351767986688897026	2021-01-20	05:46:17	en	US
1351768091693379585	2021-01-20	05:46:42	en	US
1351768242998501378	2021-01-20	05:47:18	en	US
1351768434900516864	2021-01-20	05:48:04	en	US
1351768459797880833	2021-01-20	05:48:10	en	US
1351768531356901376	2021-01-20	05:48:27	en	US
1351769457971126272	2021-01-20	05:52:08	en	US
1351769589663883267	2021-01-20	05:52:39	en	US
1351769759163977729	2021-01-20	05:53:19	en	US
1351769773013561351	2021-01-20	05:53:23	en	US
1351769869503623169	2021-01-20	05:53:46	en	US
1351770097543643138	2021-01-20	05:54:40	en	US
1351770457666674688	2021-01-20	05:56:06	en	US
1351770800681078785	2021-01-20	05:57:28	en	US
1351771216655224843	2021-01-20	05:59:07	en	US
1351771236456558595	2021-01-20	05:59:12	en	US
1351771323668844544	2021-01-20	05:59:32	en	US
1351771545774018560	2021-01-20	06:00:25	en	US
1351771552170307585	2021-01-20	06:00:27	en	US
1351772214589333504	2021-01-20	06:03:05	en	US
1351772258675564544	2021-01-20	06:03:15	en	US
1351772300656472064	2021-01-20	06:03:25	en	US
1351772474942382080	2021-01-20	06:04:07	en	US
1351772855235731456	2021-01-20	06:05:38	en	US
1351772999851143168	2021-01-20	06:06:12	en	US
1351774160284954626	2021-01-20	06:10:49	en	US
1351774728231424001	2021-01-20	06:13:04	en	US
1351774744694190080	2021-01-20	06:13:08	en	US
1351775298606383104	2021-01-20	06:15:20	en	US
1351775330428600320	2021-01-20	06:15:28	en	US
1351775439916699649	2021-01-20	06:15:54	en	US
1351775626408177665	2021-01-20	06:16:38	en	US
1351776077522284544	2021-01-20	06:18:26	en	US
1351776286490898433	2021-01-20	06:19:16	en	US
1351776334775607296	2021-01-20	06:19:27	en	US
1351776342719664130	2021-01-20	06:19:29	en	US
1351776405542076416	2021-01-20	06:19:44	en	US
1351776469819691010	2021-01-20	06:19:59	en	US
1351777107982995457	2021-01-20	06:22:32	en	US
1351777202463887368	2021-01-20	06:22:54	en	US
1351777445213421571	2021-01-20	06:23:52	en	US
1351777931270340609	2021-01-20	06:25:48	en	US
1351778269394329600	2021-01-20	06:27:08	en	US
1351779406042329088	2021-01-20	06:31:39	en	US
1351779478523969537	2021-01-20	06:31:57	en	US
1351779510312595456	2021-01-20	06:32:04	en	US
1351779847803031552	2021-01-20	06:33:25	en	US
1351780545877970944	2021-01-20	06:36:11	en	US
1351781105163243521	2021-01-20	06:38:25	en	US
1351781139845967874	2021-01-20	06:38:33	en	US
1351781800549511168	2021-01-20	06:41:10	en	US
1351782098630152197	2021-01-20	06:42:21	en	US
1351782116799836161	2021-01-20	06:42:26	en	US
1351782431079030785	2021-01-20	06:43:41	en	US
1351783016402714628	2021-01-20	06:46:00	en	US
1351783465872732160	2021-01-20	06:47:47	en	US
1351783668990308352	2021-01-20	06:48:36	en	US
1351783809792962561	2021-01-20	06:49:09	en	US
1351783868685193216	2021-01-20	06:49:23	en	US
1351784314300637186	2021-01-20	06:51:10	en	US
1351784369120153602	2021-01-20	06:51:23	en	US
1351784633780887553	2021-01-20	06:52:26	en	US
1351784792585629696	2021-01-20	06:53:04	en	US
1351784934948675593	2021-01-20	06:53:38	en	US
1351784991735205889	2021-01-20	06:53:51	en	US
1351785129069445120	2021-01-20	06:54:24	en	US
1351785390361948160	2021-01-20	06:55:26	en	US
1351785828092149762	2021-01-20	06:57:11	en	US
1351785923206213633	2021-01-20	06:57:33	en	US
1351786213494169600	2021-01-20	06:58:42	en	US
1351787341187149825	2021-01-20	07:03:11	en	US
1351787621106774017	2021-01-20	07:04:18	en	US
1351788899895398401	2021-01-20	07:09:23	en	US
