created_at	text	in_reply_to_screen_name	retweet_count	favorite_count	source	id_str
Thu Jan 21 01:55:25 +0000 2021	Just when I thought today couldn’t get any better!!! #InaugurationDay #brandnewPCRworkstation #COVID19 #wastewater… 		0	3	Twitter for iPhone	1352072274740989958
Wed Jan 20 22:36:51 +0000 2021	and this is some bullshit right here 		0	1	Twitter for iPhone	1352022302892957697
Thu Jan 21 01:04:05 +0000 2021	Just 10 weeks later we now have 24.3 million cases and 402k deaths. We have 2.5 times more cases than India who has… 		0	4	Twitter for iPhone	1352059356456620032
Wed Jan 20 18:39:30 +0000 2021	And when I speak of multiple stimulus packages I'm speaking of multiple stimulus checks only to help millions of st… 		0	0	Twitter for Android	1351962575743967234
Wed Jan 20 16:37:50 +0000 2021	#COVID19 took away our chance to see #W and #MichelleObama together again on our TVs... and that’s a National trave… 		1	1	Twitter for iPhone	1351931953579175937
Wed Jan 20 18:54:37 +0000 2021	And I Kenneth Cox of Cleveland Tennessee and speaking out for all the Americans of the United States today on their… 		0	0	Twitter for Android	1351966376441819139
Wed Jan 20 18:16:24 +0000 2021	@thecjpearson Yes, while he also executed Black people going out the door. Always watch and know what the other han… 	thecjpearson	1	34	Twitter for Android	1351956761985605632
Wed Jan 20 19:52:49 +0000 2021	Proud to have contributed to this @FertStert publication debunking fertility myths associated with the COVID-19… 		3	22	Twitter for iPhone	1351981024876617728
Wed Jan 20 21:25:56 +0000 2021	@ZWilkerson For context, I came across that tweet here in the NYT Monday briefing.  	ZWilkerson	0	0	Twitter for iPhone	1352004458004295680
Wed Jan 20 20:02:30 +0000 2021	The grocery chain announced 1,250 positive cases of COVID-19 among its crew members at the end of October 2020, inc… 		0	0	Twitter for Android	1351983463381889025
Wed Jan 20 12:55:01 +0000 2021	Impact Aid survey deadline extended! 		0	0	Twitter for iPhone	1351875880742744065
Wed Jan 20 13:30:31 +0000 2021	@B52Malmet Surface cleaning is not enough.  Coronavirus can be present in aerosols and droplets in the air inside t… 	B52Malmet	0	6	Twitter for Android	1351884817474977793
Wed Jan 20 12:45:24 +0000 2021	Starting at noon today we get to blame each and every single #COVID19 death on #PresidentBiden. Each one starting t… 		0	0	Twitter for iPhone	1351873459593347075
Thu Jan 21 03:13:52 +0000 2021	He busy talk to Iran and China , 		0	0	Twitter for iPhone	1352092017065664516
Thu Jan 21 04:25:36 +0000 2021	Look at this rubbish! I've been restraining myself go not begin taunting MAGAts about the Storm. This is just.... T… 		0	1	Twitter for Android	1352110069337317376
Wed Jan 20 19:54:18 +0000 2021	On Monday, the state’s newly launched online tool to help people find out when they can get a COVID-19 vaccine had… 		0	0	Twitter for Android	1351981399012589568
Wed Jan 20 13:44:06 +0000 2021	“I think you’re really going to see those numbers skyrocket *downward,” Trump says in his farewell address, apparen… 		0	0	Twitter for iPhone	1351888235635630082
Wed Jan 20 08:43:58 +0000 2021	The Biden ‘reboot’ starts today at noon here in Washington DC - but already we’re getting a sense of just how diffe… 		1	12	Twitter for iPhone	1351812704735023104
Wed Jan 20 21:40:14 +0000 2021	Wonder if Pence is as true to his ‘faith’ as he was to Trump and his oath of office!!!!! 		0	0	Twitter for iPhone	1352008057363038211
Wed Jan 20 11:25:22 +0000 2021	Psst....that’s not a lady 		1	3	Twitter for iPhone	1351853318805598209
Wed Jan 20 15:21:01 +0000 2021	As a Homeless Outreach Specialist with MHMR, I am a healthcare worker and, therefore, first in line to receive the… 		0	0	Twitter for Android	1351912625014243333
Thu Jan 21 01:57:22 +0000 2021	Joe's PROUD af moment w Covid19#MedicareForAll #Inauguration2021 		0	0	Twitter for Android	1352072767882063877
Wed Jan 20 10:31:38 +0000 2021	Deadline: Another New Covid-19 Variant Discovered In L.A. Might Be Vaccine Resistant, Researcher Says; Strain First… 		0	0	Twitter for Android	1351839797384523777
Wed Jan 20 22:34:05 +0000 2021	YOU BETCHA 		0	0	Twitter for iPhone	1352021609087967232
Wed Jan 20 17:58:48 +0000 2021	WHY DOES JACK DORSEY ALLOW THIS FAKE NEWS FROM THE L.A.TIMES? 		0	0	Twitter for Android	1351952332167122945
Thu Jan 21 00:05:20 +0000 2021	When you read this, somebody that you follow instantly comes to mind.Unfollow them. You don’t need that level of… 		0	8	Twitter for iPhone	1352044573271457793
Wed Jan 20 15:55:03 +0000 2021	Fact Check: Did Biden's Health Pick Put COVID-19 Patients Into Nursing Homes? ... True to form, Trumpublicans are a… 		1	5	Twitter for Android	1351921186758828033
Wed Jan 20 22:08:33 +0000 2021	just had my first iced coffee since recovering from covid and this random tachycardia better be temporary lol fuck #COVID19		0	0	Twitter for Android	1352015184945147908
Wed Jan 20 17:40:49 +0000 2021	So much good happening today. #nurseswhotweet #COVIDMemorial #COVID19 #InaugurationDay 		0	1	Twitter for iPhone	1351947804831219713
Wed Jan 20 12:43:24 +0000 2021	That’s a good list. 		0	0	Twitter for iPhone	1351872959842033664
Thu Jan 21 02:39:33 +0000 2021	I discuss if the Publix site can handle the web traffic with @LuliOrtizCBS12 67 Publix pharmacies to offer COVID-19… 		1	6	Twitter for iPhone	1352083383283757057
Wed Jan 20 21:50:50 +0000 2021	The #Methuen PD invites all of our Friends and Followers to read and share these COVID-19 Vaccine Need to Know Flie… 		2	4	Twitter for iPhone	1352010724193804293
Wed Jan 20 17:55:41 +0000 2021	What an inspiration! And she’s a local! LA may been in the midst of a #COVID19 crisis but she is a ray of hope and… 		0	9	Twitter for iPhone	1351951546095869953
Wed Jan 20 20:03:55 +0000 2021	LMAO This you?  		0	1	Twitter for iPhone	1351983817381212160
Wed Jan 20 15:58:07 +0000 2021	My final take on @POTUS, Donald Trump. He did great things: strengthened our military and made country safe, brough… 		1	1	Twitter for Android	1351921961610448901
Wed Jan 20 17:14:03 +0000 2021	When getting likes and RTs goes to the extreme  		0	0	Twitter for Android	1351941068514852865
Thu Jan 21 01:09:52 +0000 2021	As long as the supply is there, I’m confident that @GovernorVA will get it to the right people. Looks like a great… 		0	3	Twitter for iPhone	1352060812890943489
Wed Jan 20 05:57:28 +0000 2021	@Costco #Checkpoint #Costco #Trump #Trump2024 #COVID19 ß check out this review of Costco Wholesale on Google Maps… 	Costco	0	0	Twitter for Android	1351770800681078785
Wed Jan 20 15:37:52 +0000 2021	As we watch transfers of military/political powers , bear witness to the daily transfers of power w/in ‘you’ &amp; ‘me’… 		0	0	Twitter for iPhone	1351916864193130496
Thu Jan 21 03:21:44 +0000 2021	And he’s fully vaccinated lol crazy 		0	0	Twitter for iPhone	1352093996051550210
Wed Jan 20 12:30:10 +0000 2021	@Jakes__Juice Like when he got coronavirus	Jakes__Juice	0	1	Twitter for iPhone	1351869628323160071
Thu Jan 21 02:53:18 +0000 2021	Let's get the fuck over this America! 		0	1	Twitter for Android	1352086843655860227
Wed Jan 20 14:50:14 +0000 2021	Coronavirus Variant Linked to COVID-19 Outbreaks in California. [ A leucine to arginine amino acid variant in Calif… 		0	0	Twitter for Android	1351904875588833282
Wed Jan 20 23:16:42 +0000 2021	Not like Ol Joe will remember the briefing. 		0	0	Twitter for iPhone	1352032334862807047
Wed Jan 20 12:50:09 +0000 2021	@MichaelTanuvasa @KaydeeKing We need to take that $200 million and put it towards a cure for COVID-19 they’re tryin… 	MichaelTanuvasa	0	1	Twitter for iPhone	1351874657545293830
Thu Jan 21 00:57:45 +0000 2021	I mean, come the fuck on. 		0	6	Twitter for iPhone	1352057762943909888
Wed Jan 20 05:23:14 +0000 2021	My grandma did not die of #COVID19 but because of it and how things were handled she died in a nursing home without family by her side.	MFranklinPhD	0	6	Twitter for iPhone	1351762185157029889
Wed Jan 20 18:06:32 +0000 2021	Good news for 65 and above  I am aware of multiple individuals who is 65 and above and received their vaccines to… 		0	0	Twitter for iPhone	1351954277858742272
Wed Jan 20 23:27:54 +0000 2021	Brand NEW! #COVID19 #dashboard for Fremont County Department of Public Health and Environment where you can find th… 		1	2	Fanbooster by Traject	1352035152499716102
Wed Jan 20 22:53:47 +0000 2021	EARN YOUR SCHOLARSHIPConsistent Prospect MarketingUNLIMITED Prospect PostsNational Recruiting Platform… 		2	2	Twitter for iPhone	1352026566562357250
Wed Jan 20 05:59:32 +0000 2021	Speaking of the Giles case, her defense attorney recently filed a motion seeking more time to appeal some decisions… 	JournoMGregory	0	0	Twitter for iPhone	1351771323668844544
Wed Jan 20 17:47:29 +0000 2021	We out here raising the roof of our expanded #COVID19 testing site while @JoeBiden and @KamalaHarris are sworn in f… 		3	20	Twitter for iPhone	1351949484947873793
